STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi,STT,information,Label,thong_tin_norm_en,tokens_en,thong_tin_final_en
548,"Mục tiêu chiến lược là xây dựng công nghệ quản lý hiện đại, hoàn thành cơ bản các điều kiện đáp ứng yêu cầu đào tạo nguồn nhân lực chất lượng cao đóng góp cho xã hội, tạo ra giá trị thực tiễn và hiệu quả từ hoạt động nghiên cứu khoa học và chuyển giao công nghệ, hợp tác quốc tế.",Giới thiệu,mục tiêu chiến lược là xây dựng công nghệ quản lý hiện đại hoàn thành cơ bản các điều kiện đáp ứng yêu cầu đào tạo nguồn nhân lực chất lượng cao đóng góp cho xã hội tạo ra giá trị thực tiễn và hiệu quả từ hoạt động nghiên cứu khoa học và chuyển giao công nghệ hợp tác quốc tế,"['mục_tiêu', 'chiến_lược', 'xây_dựng', 'công_nghệ', 'quản_lý', 'hiện_đại', 'hoàn_thành', 'cơ_bản', 'điều_kiện', 'đáp_ứng', 'yêu_cầu', 'đào_tạo', 'nguồn', 'nhân_lực', 'chất_lượng', 'cao', 'đóng_góp', 'xã_hội', 'tạo', 'ra', 'giá_trị', 'thực_tiễn', 'hiệu_quả', 'hoạt_động', 'nghiên_cứu', 'khoa_học', 'chuyển_giao', 'công_nghệ', 'hợp_tác', 'quốc_tế']",mục_tiêu chiến_lược xây_dựng công_nghệ quản_lý hiện_đại hoàn_thành cơ_bản điều_kiện đáp_ứng yêu_cầu đào_tạo nguồn nhân_lực chất_lượng cao đóng_góp xã_hội tạo ra giá_trị thực_tiễn hiệu_quả hoạt_động nghiên_cứu khoa_học chuyển_giao công_nghệ hợp_tác quốc_tế,,,,,,
549,"Mục tiêu chiến lược là tiên phong trong các lĩnh vực giáo dục, nghiên cứu và chuyển giao công nghệ; thúc đẩy kết nối phục vụ cộng đồng; tạo môi trường học tập và làm việc thu hút người học và giảng viên có năng lực và trình độ cao; phát triển bền vững trên cơ sở tự chủ tài chính.",Giới thiệu,mục tiêu chiến lược là tiên phong trong các lĩnh vực giáo dục nghiên cứu và chuyển giao công nghệ thúc đẩy kết nối phục vụ cộng đồng tạo môi trường học tập và làm việc thu hút người học và giảng viên có năng lực và trình độ cao phát triển bền vững trên cơ sở tự chủ tài chính,"['mục_tiêu', 'chiến_lược', 'tiên_phong', 'lĩnh_vực', 'giáo_dục', 'nghiên_cứu', 'chuyển_giao', 'công_nghệ', 'thúc_đẩy', 'kết_nối', 'phục_vụ', 'cộng_đồng', 'tạo', 'môi_trường', 'học_tập', 'làm_việc', 'thu_hút', 'người', 'học', 'giảng_viên', 'năng_lực', 'trình_độ', 'cao', 'phát_triển', 'bền_vững', 'trên', 'cơ_sở', 'tự_chủ', 'tài_chính']",mục_tiêu chiến_lược tiên_phong lĩnh_vực giáo_dục nghiên_cứu chuyển_giao công_nghệ thúc_đẩy kết_nối phục_vụ cộng_đồng tạo môi_trường học_tập làm_việc thu_hút người học giảng_viên năng_lực trình_độ cao phát_triển bền_vững trên cơ_sở tự_chủ tài_chính,,,,,,
550,"Tiên phong trong các lĩnh vực giáo dục, nghiên cứu và chuyển giao công nghệ: tăng chất lượng người học tốt nghiệp; nâng cao tỷ lệ có việc làm và vị trí việc làm cho người học sau khi tốt nghiệp; tăng cường quốc tế hóa các chương trình đào tạo; nâng cao chất lượng chương trình đào tạo để đáp ứng yêu cầu của các tổ chức đảm bảo chất lượng; tăng cường hợp tác với các tổ chức trong việc tuyển dụng người học tốt nghiệp; tăng chất lượng các công trình nghiên cứu công bố trong nước và quốc tế; thực thi các chính sách hỗ trợ hợp tác nghiên cứu trong nước và quốc tế; thúc đẩy hoạt động chuyển giao công nghệ.",Giới thiệu,tiên phong trong các lĩnh vực giáo dục nghiên cứu và chuyển giao công nghệ tăng chất lượng người học tốt nghiệp nâng cao tỷ lệ có việc làm và vị trí việc làm cho người học sau khi tốt nghiệp tăng cường quốc tế hóa các chương trình đào tạo nâng cao chất lượng chương trình đào tạo để đáp ứng yêu cầu của các tổ chức đảm bảo chất lượng tăng cường hợp tác với các tổ chức trong việc tuyển dụng người học tốt nghiệp tăng chất lượng các công trình nghiên cứu công bố trong nước và quốc tế thực thi các chính sách hỗ trợ hợp tác nghiên cứu trong nước và quốc tế thúc đẩy hoạt động chuyển giao công nghệ,"['tiên_phong', 'lĩnh_vực', 'giáo_dục', 'nghiên_cứu', 'chuyển_giao', 'công_nghệ', 'tăng', 'chất_lượng', 'người', 'học', 'tốt_nghiệp', 'nâng', 'cao', 'tỷ_lệ', 'việc_làm', 'vị_trí', 'việc_làm', 'người', 'học', 'sau', 'tốt_nghiệp', 'tăng_cường', 'quốc_tế', 'hóa', 'chương_trình', 'đào_tạo', 'nâng', 'cao', 'chất_lượng', 'chương_trình', 'đào_tạo', 'để', 'đáp_ứng', 'yêu_cầu', 'tổ_chức', 'đảm_bảo', 'chất_lượng', 'tăng_cường', 'hợp_tác', 'tổ_chức', 'việc', 'tuyển_dụng', 'người', 'học', 'tốt_nghiệp', 'tăng', 'chất_lượng', 'công_trình', 'nghiên_cứu', 'công_bố', 'nước', 'quốc_tế', 'thực_thi', 'chính_sách', 'hỗ_trợ', 'hợp_tác', 'nghiên_cứu', 'nước', 'quốc_tế', 'thúc_đẩy', 'hoạt_động', 'chuyển_giao', 'công_nghệ']",tiên_phong lĩnh_vực giáo_dục nghiên_cứu chuyển_giao công_nghệ tăng chất_lượng người học tốt_nghiệp nâng cao tỷ_lệ việc_làm vị_trí việc_làm người học sau tốt_nghiệp tăng_cường quốc_tế hóa chương_trình đào_tạo nâng cao chất_lượng chương_trình đào_tạo để đáp_ứng yêu_cầu tổ_chức đảm_bảo chất_lượng tăng_cường hợp_tác tổ_chức việc tuyển_dụng người học tốt_nghiệp tăng chất_lượng công_trình nghiên_cứu công_bố nước quốc_tế thực_thi chính_sách hỗ_trợ hợp_tác nghiên_cứu nước quốc_tế thúc_đẩy hoạt_động chuyển_giao công_nghệ,,,,,,
551,"Thúc đẩy kết nối phục vụ cộng đồng: mở rộng các hoạt động của công dân tích cực trong kết nối cộng đồng; đẩy mạnh các hoạt động khởi nghiệp; khuyến khích người học, viên chức và người lao động tham gia các hoạt động phục vụ cộng đồng; khai thác các phương tiện truyền thông một cách hiệu quả; phát triển năng lực đội ngũ làm truyền thông.",Giới thiệu,thúc đẩy kết nối phục vụ cộng đồng mở rộng các hoạt động của công dân tích cực trong kết nối cộng đồng đẩy mạnh các hoạt động khởi nghiệp khuyến khích người học viên chức và người lao động tham gia các hoạt động phục vụ cộng đồng khai thác các phương tiện truyền thông một cách hiệu quả phát triển năng lực đội ngũ làm truyền thông,"['thúc_đẩy', 'kết_nối', 'phục_vụ', 'cộng_đồng', 'mở_rộng', 'hoạt_động', 'công_dân', 'tích_cực', 'kết_nối', 'cộng_đồng', 'đẩy_mạnh', 'hoạt_động', 'khởi_nghiệp', 'khuyến_khích', 'người', 'học_viên_chức', 'người', 'lao_động', 'tham_gia', 'hoạt_động', 'phục_vụ', 'cộng_đồng', 'khai_thác', 'phương_tiện', 'truyền_thông', 'một_cách', 'hiệu_quả', 'phát_triển', 'năng_lực', 'đội_ngũ', 'làm', 'truyền_thông']",thúc_đẩy kết_nối phục_vụ cộng_đồng mở_rộng hoạt_động công_dân tích_cực kết_nối cộng_đồng đẩy_mạnh hoạt_động khởi_nghiệp khuyến_khích người học_viên_chức người lao_động tham_gia hoạt_động phục_vụ cộng_đồng khai_thác phương_tiện truyền_thông một_cách hiệu_quả phát_triển năng_lực đội_ngũ làm truyền_thông,,,,,,
552,Xây dựng cơ sở giáo dục hiện đại: phát triển cơ sở hạ tầng cho hoạt động giảng dạy và nghiên cứu; tạo ra nhiều hoạt động ngoại khóa sôi động ngay trong khuôn viên Nhà trường; xây dựng khuôn viên xanh và cơ sở hạ tầng công nghệ thông tin tiên tiến; phát triển hệ thống học tập trực tuyến hiệu quả.,Giới thiệu,xây dựng cơ sở giáo dục hiện đại phát triển cơ sở hạ tầng cho hoạt động giảng dạy và nghiên cứu tạo ra nhiều hoạt động ngoại khóa sôi động ngay trong khuôn viên nhà trường xây dựng khuôn viên xanh và cơ sở hạ tầng công nghệ thông tin tiên tiến phát triển hệ thống học tập trực tuyến hiệu quả,"['xây_dựng', 'cơ_sở', 'giáo_dục', 'hiện_đại', 'phát_triển', 'cơ_sở_hạ_tầng', 'hoạt_động', 'giảng_dạy', 'nghiên_cứu', 'tạo', 'ra', 'nhiều', 'hoạt_động', 'ngoại_khóa', 'sôi_động', 'ngay', 'khuôn_viên', 'nhà_trường', 'xây_dựng', 'khuôn_viên', 'xanh', 'cơ_sở_hạ_tầng', 'công_nghệ_thông_tin', 'tiên_tiến', 'phát_triển', 'hệ_thống', 'học_tập', 'trực_tuyến', 'hiệu_quả']",xây_dựng cơ_sở giáo_dục hiện_đại phát_triển cơ_sở_hạ_tầng hoạt_động giảng_dạy nghiên_cứu tạo ra nhiều hoạt_động ngoại_khóa sôi_động ngay khuôn_viên nhà_trường xây_dựng khuôn_viên xanh cơ_sở_hạ_tầng công_nghệ_thông_tin tiên_tiến phát_triển hệ_thống học_tập trực_tuyến hiệu_quả,,,,,,
553,"Thu hút nguồn lực chất lượng cao trong và ngoài nước: duy trì được đội ngũ giảng viên có năng lực; có cơ chế đãi ngộ phù hợp; tuyển dụng và tìm kiếm nhân sự chất lượng cao; đa dạng hóa hình thức tuyển dụng; tăng cường phát triển năng lực nhân sự; thực hiện bố trí công việc phù hợp; cải thiện môi trường làm việc; nâng cao thu nhập của viên chức, người lao động.",Giới thiệu,thu hút nguồn lực chất lượng cao trong và ngoài nước duy trì được đội ngũ giảng viên có năng lực có cơ chế đãi ngộ phù hợp tuyển dụng và tìm kiếm nhân sự chất lượng cao đa dạng hóa hình thức tuyển dụng tăng cường phát triển năng lực nhân sự thực hiện bố trí công việc phù hợp cải thiện môi trường làm việc nâng cao thu nhập của viên chức người lao động,"['thu_hút', 'nguồn_lực', 'chất_lượng', 'cao', 'ngoài', 'nước', 'duy_trì', 'đội_ngũ', 'giảng_viên', 'năng_lực', 'cơ_chế', 'đãi_ngộ', 'phù_hợp', 'tuyển_dụng', 'tìm_kiếm', 'nhân_sự', 'chất_lượng', 'cao', 'đa_dạng', 'hóa', 'hình_thức', 'tuyển_dụng', 'tăng_cường', 'phát_triển', 'năng_lực', 'nhân_sự', 'thực_hiện', 'bố_trí', 'công_việc', 'phù_hợp', 'cải_thiện', 'môi_trường', 'làm_việc', 'nâng', 'cao', 'thu_nhập', 'viên_chức', 'người', 'lao_động']",thu_hút nguồn_lực chất_lượng cao ngoài nước duy_trì đội_ngũ giảng_viên năng_lực cơ_chế đãi_ngộ phù_hợp tuyển_dụng tìm_kiếm nhân_sự chất_lượng cao đa_dạng hóa hình_thức tuyển_dụng tăng_cường phát_triển năng_lực nhân_sự thực_hiện bố_trí công_việc phù_hợp cải_thiện môi_trường làm_việc nâng cao thu_nhập viên_chức người lao_động,,,,,,
554,"Đầu tư và thu nhập ổn định, bền vững: tăng doanh thu thông qua các hoạt động đào tạo, nghiên cứu và các tài nguyên khác; đầu tư hợp lý cho nguồn nhân lực, đào tạo và nghiên cứu, hoạt động phục vụ cộng đồng và nâng cao chất lượng cuộc sống người học; duy trì khoản dự phòng; tăng cường ngân sách cho kế hoạch đảm bảo hoạt động liên tục.",Giới thiệu,đầu tư và thu nhập ổn định bền vững tăng doanh thu thông qua các hoạt động đào tạo nghiên cứu và các tài nguyên khác đầu tư hợp lý cho nguồn nhân lực đào tạo và nghiên cứu hoạt động phục vụ cộng đồng và nâng cao chất lượng cuộc sống người học duy trì khoản dự phòng tăng cường ngân sách cho kế hoạch đảm bảo hoạt động liên tục,"['đầu_tư', 'thu_nhập', 'ổn_định', 'bền_vững', 'tăng', 'doanh_thu', 'thông_qua', 'hoạt_động', 'đào_tạo', 'nghiên_cứu', 'tài_nguyên', 'khác', 'đầu_tư', 'hợp_lý', 'nguồn', 'nhân_lực', 'đào_tạo', 'nghiên_cứu', 'hoạt_động', 'phục_vụ', 'cộng_đồng', 'nâng', 'cao', 'chất_lượng', 'cuộc_sống', 'người', 'học', 'duy_trì', 'khoản', 'dự_phòng', 'tăng_cường', 'ngân_sách', 'kế_hoạch', 'đảm_bảo', 'hoạt_động', 'liên_tục']",đầu_tư thu_nhập ổn_định bền_vững tăng doanh_thu thông_qua hoạt_động đào_tạo nghiên_cứu tài_nguyên khác đầu_tư hợp_lý nguồn nhân_lực đào_tạo nghiên_cứu hoạt_động phục_vụ cộng_đồng nâng cao chất_lượng cuộc_sống người học duy_trì khoản dự_phòng tăng_cường ngân_sách kế_hoạch đảm_bảo hoạt_động liên_tục,,,,,,
555,"Giá trị cốt lõi là với mục tiêu và tầm nhìn trở thành một trong những trường đại học hàng đầu Việt Nam, tiên phong trong giáo dục, nghiên cứu ứng dụng, chuyển giao công nghệ và đổi mới sáng tạo, Trường Đại học Công nghiệp Thành phố Hồ Chí Minh xác định và đúc kết hệ giá trị cốt lõi: “Đổi mới – Đoàn kết – Nhân văn”.",Giới thiệu,giá trị cốt lõi là với mục tiêu và tầm nhìn trở thành một trong những trường đại học hàng đầu việt nam tiên phong trong giáo dục nghiên cứu ứng dụng chuyển giao công nghệ và đổi mới sáng tạo trường đại học công nghiệp thành phố hồ chí minh xác định và đúc kết hệ giá trị cốt lõi đổi mới đoàn kết nhân văn,"['giá_trị', 'cốt_lõi', 'mục_tiêu', 'tầm', 'nhìn', 'trở_thành', 'trường', 'đại_học', 'hàng_đầu', 'việt_nam', 'tiên_phong', 'giáo_dục', 'nghiên_cứu', 'ứng_dụng', 'chuyển_giao', 'công_nghệ', 'đổi_mới', 'sáng_tạo', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'xác_định', 'đúc_kết_hệ', 'giá_trị', 'cốt_lõi', 'đổi_mới', 'đoàn_kết', 'nhân_văn']",giá_trị cốt_lõi mục_tiêu tầm nhìn trở_thành trường đại_học hàng_đầu việt_nam tiên_phong giáo_dục nghiên_cứu ứng_dụng chuyển_giao công_nghệ đổi_mới sáng_tạo trường đại_học công_nghiệp thành_phố hồ chí_minh xác_định đúc_kết_hệ giá_trị cốt_lõi đổi_mới đoàn_kết nhân_văn,,,,,,
556,"Đổi mới: liên tục tìm kiếm những cách làm mới và tốt hơn, sáng tạo, đổi mới và dám nghĩ, dám làm để thử những điều mới và tạo cơ hội để cải tiến và đạt đến tầm cao mới.",Giới thiệu,đổi mới liên tục tìm kiếm những cách làm mới và tốt hơn sáng tạo đổi mới và dám nghĩ dám làm để thử những điều mới và tạo cơ hội để cải tiến và đạt đến tầm cao mới,"['đổi_mới', 'liên_tục', 'tìm_kiếm', 'cách', 'làm', 'mới', 'tốt', 'sáng_tạo', 'đổi_mới', 'dám_nghĩ', 'dám', 'làm', 'để', 'thử', 'điều', 'mới', 'tạo', 'cơ_hội', 'để', 'cải_tiến', 'đạt', 'tầm', 'cao', 'mới']",đổi_mới liên_tục tìm_kiếm cách làm mới tốt sáng_tạo đổi_mới dám_nghĩ dám làm để thử điều mới tạo cơ_hội để cải_tiến đạt tầm cao mới,,,,,,
557,"Đoàn kết: chịu trách nhiệm và làm chủ, đồng thời phối hợp làm việc với tất cả các đơn vị và các bên liên quan để khai thác triệt để các nguồn lực và năng lực cũng như sử dụng và triển khai hiệu quả chúng.",Giới thiệu,đoàn kết chịu trách nhiệm và làm chủ đồng thời phối hợp làm việc với tất cả các đơn vị và các bên liên quan để khai thác triệt để các nguồn lực và năng lực cũng như sử dụng và triển khai hiệu quả chúng,"['đoàn_kết', 'chịu', 'trách_nhiệm', 'làm_chủ', 'đồng_thời', 'phối_hợp', 'làm_việc', 'tất_cả', 'đơn_vị', 'bên', 'liên_quan', 'để', 'khai_thác', 'triệt_để', 'nguồn_lực', 'năng_lực', 'sử_dụng', 'triển_khai', 'hiệu_quả', 'chúng']",đoàn_kết chịu trách_nhiệm làm_chủ đồng_thời phối_hợp làm_việc tất_cả đơn_vị bên liên_quan để khai_thác triệt_để nguồn_lực năng_lực sử_dụng triển_khai hiệu_quả chúng,,,,,,
558,"Nhân văn: đối xử với từng cá nhân và tập thể bằng lòng nhân ái, vị tha, công bằng, công tâm và hướng đến phát triển tiềm năng và hiện thực hóa nguyện vọng; làm việc chuyên nghiệp và đạo đức cũng như phục vụ và đóng góp cho cộng đồng với tư cách là một công dân có trách nhiệm.",Giới thiệu,nhân văn đối xử với từng cá nhân và tập thể bằng lòng nhân ái vị tha công bằng công tâm và hướng đến phát triển tiềm năng và hiện thực hóa nguyện vọng làm việc chuyên nghiệp và đạo đức cũng như phục vụ và đóng góp cho cộng đồng với tư cách là một công dân có trách nhiệm,"['nhân_văn', 'đối_xử', 'từng', 'cá_nhân', 'tập_thể', 'bằng_lòng', 'nhân_ái_vị', 'tha_công_bằng', 'công_tâm', 'hướng', 'phát_triển', 'tiềm_năng', 'hiện_thực_hóa', 'nguyện_vọng', 'làm_việc', 'chuyên_nghiệp', 'đạo_đức', 'phục_vụ', 'đóng_góp', 'cộng_đồng', 'tư_cách', 'công_dân', 'trách_nhiệm']",nhân_văn đối_xử từng cá_nhân tập_thể bằng_lòng nhân_ái_vị tha_công_bằng công_tâm hướng phát_triển tiềm_năng hiện_thực_hóa nguyện_vọng làm_việc chuyên_nghiệp đạo_đức phục_vụ đóng_góp cộng_đồng tư_cách công_dân trách_nhiệm,,,,,,
559,"Cơ sở vật chất Nhà trường với trên 500 giảng đường và phòng học rộng rãi thoáng mát, trên 350 phòng thí nghiệm và xưởng thực hành có trang thiết bị hiện đại, các khu nội trú có sức chứa 8.000 người.",Giới thiệu,cơ sở vật chất nhà trường với trên giảng đường và phòng học rộng rãi thoáng mát trên phòng thí nghiệm và xưởng thực hành có trang thiết bị hiện đại các khu nội trú có sức chứa người,"['cơ_sở_vật_chất', 'nhà_trường', 'trên', 'giảng_đường', 'phòng', 'học', 'rộng_rãi', 'thoáng', 'mát', 'trên', 'phòng_thí_nghiệm', 'xưởng', 'thực_hành', 'trang_thiết_bị', 'hiện_đại', 'khu', 'nội_trú', 'sức', 'chứa', 'người']",cơ_sở_vật_chất nhà_trường trên giảng_đường phòng học rộng_rãi thoáng mát trên phòng_thí_nghiệm xưởng thực_hành trang_thiết_bị hiện_đại khu nội_trú sức chứa người,,,,,,
560,"Nhà ăn sinh viên được xây dựng hiện đại, rộng rãi, sinh viên có thể tự chọn món ăn cho vừa với sở thích và túi tiền theo phong cách tự phục vụ nhằm hội nhập với lối sống hiện đại.",Giới thiệu,nhà ăn sinh viên được xây dựng hiện đại rộng rãi sinh viên có thể tự chọn món ăn cho vừa với sở thích và túi tiền theo phong cách tự phục vụ nhằm hội nhập với lối sống hiện đại,"['nhà', 'ăn', 'sinh_viên', 'xây_dựng', 'hiện_đại', 'rộng_rãi', 'sinh_viên', 'có_thể', 'tự', 'chọn', 'món', 'ăn', 'vừa', 'sở_thích', 'túi_tiền', 'phong_cách', 'tự_phục_vụ', 'nhằm', 'hội_nhập', 'lối', 'sống', 'hiện_đại']",nhà ăn sinh_viên xây_dựng hiện_đại rộng_rãi sinh_viên có_thể tự chọn món ăn vừa sở_thích túi_tiền phong_cách tự_phục_vụ nhằm hội_nhập lối sống hiện_đại,,,,,,
561,Thư viện hiện có trên 200.000 bản sách các loại.,Giới thiệu,thư viện hiện có trên bản sách các loại,"['thư_viện', 'hiện', 'trên', 'bản', 'sách', 'loại']",thư_viện hiện trên bản sách loại,,,,,,
562,"Nhà trường đã tin học toàn bộ và sâu rộng mọi hoạt động trong trường, sinh viên có thể truy cập internet, sử dụng mạng để tìm kiếm các thông tin thư viện điện tử phục vụ học tập. Mọi liên hệ giao tiếp với thầy và tìm kiếm những thông tin về khoa, về trường v.v..., sinh viên học sinh có thể tìm kiếm trên mạng.",Giới thiệu,nhà trường đã tin học toàn bộ và sâu rộng mọi hoạt động trong trường sinh viên có thể truy cập internet sử dụng mạng để tìm kiếm các thông tin thư viện điện tử phục vụ học tập mọi liên hệ giao tiếp với thầy và tìm kiếm những thông tin về khoa về trường v v sinh viên học sinh có thể tìm kiếm trên mạng,"['nhà_trường', 'tin_học', 'toàn_bộ', 'sâu_rộng', 'mọi', 'hoạt_động', 'trường', 'sinh_viên', 'có_thể', 'truy_cập', 'internet', 'sử_dụng', 'mạng', 'để', 'tìm_kiếm', 'thông_tin', 'thư_viện', 'điện_tử', 'phục_vụ', 'học_tập', 'mọi', 'liên_hệ', 'giao_tiếp', 'thầy', 'tìm_kiếm', 'thông_tin', 'khoa', 'trường', 'sinh_viên', 'học_sinh', 'có_thể', 'tìm_kiếm', 'trên', 'mạng']",nhà_trường tin_học toàn_bộ sâu_rộng mọi hoạt_động trường sinh_viên có_thể truy_cập internet sử_dụng mạng để tìm_kiếm thông_tin thư_viện điện_tử phục_vụ học_tập mọi liên_hệ giao_tiếp thầy tìm_kiếm thông_tin khoa trường sinh_viên học_sinh có_thể tìm_kiếm trên mạng,,,,,,
563,"Nhà ăn, kí túc xá sinh viên, nhà truyền thống, phòng tập thể thao đa năng, thư viện điện tử, hệ thống xưởng thực tập, phòng thí nghiệm và các phòng học, giảng đường ngày càng được hoàn thiện theo tiêu chuẩn quốc tế. Các phương tiện tin học trong Nhà trường được nối mạng và kết nối internet sẽ ngày càng được sử dụng rộng rãi.",Giới thiệu,nhà ăn kí túc xá sinh viên nhà truyền thống phòng tập thể thao đa năng thư viện điện tử hệ thống xưởng thực tập phòng thí nghiệm và các phòng học giảng đường ngày càng được hoàn thiện theo tiêu chuẩn quốc tế các phương tiện tin học trong nhà trường được nối mạng và kết nối internet sẽ ngày càng được sử dụng rộng rãi,"['nhà', 'ăn_kí_túc_xá', 'sinh_viên', 'nhà', 'truyền_thống', 'phòng', 'tập', 'thể_thao', 'đa_năng', 'thư_viện', 'điện_tử', 'hệ_thống', 'xưởng', 'thực_tập', 'phòng_thí_nghiệm', 'phòng', 'học', 'giảng_đường', 'ngày_càng', 'hoàn_thiện', 'tiêu_chuẩn', 'quốc_tế', 'phương_tiện', 'tin_học', 'nhà_trường', 'nối_mạng', 'kết_nối', 'internet', 'ngày_càng', 'sử_dụng', 'rộng_rãi']",nhà ăn_kí_túc_xá sinh_viên nhà truyền_thống phòng tập thể_thao đa_năng thư_viện điện_tử hệ_thống xưởng thực_tập phòng_thí_nghiệm phòng học giảng_đường ngày_càng hoàn_thiện tiêu_chuẩn quốc_tế phương_tiện tin_học nhà_trường nối_mạng kết_nối internet ngày_càng sử_dụng rộng_rãi,,,,,,
564,"Cơ sở vật chất tại trường gồm Phòng Thí nghiệm thực hành của Khoa Công nghệ thông tin, Trung tâm mô phỏng của Viện Tài chính - Kế toán, Trung tâm mô phòng Khoa Quản trị kinh doanh, Phòng thí nghiệm nhà máy thông minh ứng dụng công nghiệp 4.0, Trung tâm thư viện, Phòng Ký túc xá sinh viên.
",Giới thiệu,cơ sở vật chất tại trường gồm phòng thí nghiệm thực hành của khoa công nghệ thông tin trung tâm mô phỏng của viện tài chính kế toán trung tâm mô phòng khoa quản trị kinh doanh phòng thí nghiệm nhà máy thông minh ứng dụng công nghiệp trung tâm thư viện phòng ký túc xá sinh viên,"['cơ_sở', 'vật_chất', 'trường', 'gồm', 'phòng_thí_nghiệm', 'thực_hành', 'khoa', 'công_nghệ_thông_tin', 'trung_tâm', 'mô_phỏng', 'viện', 'tài_chính', 'kế_toán', 'trung_tâm', 'mô', 'phòng', 'khoa', 'quản_trị', 'kinh_doanh', 'phòng_thí_nghiệm', 'nhà_máy', 'thông_minh', 'ứng_dụng', 'công_nghiệp', 'trung_tâm', 'thư_viện', 'phòng', 'ký_túc_xá', 'sinh_viên']",cơ_sở vật_chất trường gồm phòng_thí_nghiệm thực_hành khoa công_nghệ_thông_tin trung_tâm mô_phỏng viện tài_chính kế_toán trung_tâm mô phòng khoa quản_trị kinh_doanh phòng_thí_nghiệm nhà_máy thông_minh ứng_dụng công_nghiệp trung_tâm thư_viện phòng ký_túc_xá sinh_viên,,,,,,
565,"​Nhà trường hướng đến đào tạo người học trở thành những người có đầy đủ phẩm chất CARE, phù hợp với tầm nhìn, sứ mạng và giá trị cốt lõi của Trường. Những phẩm chất của người học mà Trường Đại học Công nghiệp Thành phố Hồ Chí Minh mong muốn người học đạt được trong quá trình tham gia học tập tại Trường.",Giới thiệu,nhà trường hướng đến đào tạo người học trở thành những người có đầy đủ phẩm chất care phù hợp với tầm nhìn sứ mạng và giá trị cốt lõi của trường những phẩm chất của người học mà trường đại học công nghiệp thành phố hồ chí minh mong muốn người học đạt được trong quá trình tham gia học tập tại trường,"['nhà_trường', 'hướng', 'đào_tạo', 'người', 'học', 'trở_thành', 'người', 'đầy_đủ', 'phẩm_chất', 'care', 'phù_hợp', 'tầm', 'nhìn', 'sứ_mạng', 'giá_trị', 'cốt_lõi', 'trường', 'phẩm_chất', 'người', 'học', 'mà', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'mong_muốn', 'người', 'học', 'đạt', 'quá_trình', 'tham_gia', 'học_tập', 'trường']",nhà_trường hướng đào_tạo người học trở_thành người đầy_đủ phẩm_chất care phù_hợp tầm nhìn sứ_mạng giá_trị cốt_lõi trường phẩm_chất người học mà trường đại_học công_nghiệp thành_phố hồ chí_minh mong_muốn người học đạt quá_trình tham_gia học_tập trường,,,,,,
566,"Avid Lifelong Learner - một người không ngừng học tập tích cực: Có sự tò mò, ham học hỏi và tinh thần học tập suốt đời; Có tư duy cởi mở và dễ tiếp thu những ý tưởng, khái niệm, kiến thức mới;",Giới thiệu,avid lifelong learner một người không ngừng học tập tích cực có sự tò mò ham học hỏi và tinh thần học tập suốt đời có tư duy cởi mở và dễ tiếp thu những ý tưởng khái niệm kiến thức mới,"['avid', 'lifelong', 'learner', 'người', 'ngừng', 'học_tập', 'tích_cực', 'sự', 'tò_mò', 'ham', 'học_hỏi', 'tinh_thần', 'học_tập', 'suốt', 'đời', 'tư_duy', 'cởi_mở', 'dễ', 'tiếp_thu', 'ý_tưởng', 'khái_niệm', 'kiến_thức', 'mới']",avid lifelong learner người ngừng học_tập tích_cực sự tò_mò ham học_hỏi tinh_thần học_tập suốt đời tư_duy cởi_mở dễ tiếp_thu ý_tưởng khái_niệm kiến_thức mới,,,,,,
567,"Rational Thinker - một người có suy nghĩ thấu đáo, hợp lý: Có tư duy phản biện trong việc phân tích các dữ kiện và các lựa chọn trước khi đưa ra đánh giá; Phân tích và giải quyết vấn đề một cách hợp lý và có hệ thống.",Giới thiệu,rational thinker một người có suy nghĩ thấu đáo hợp lý có tư duy phản biện trong việc phân tích các dữ kiện và các lựa chọn trước khi đưa ra đánh giá phân tích và giải quyết vấn đề một cách hợp lý và có hệ thống,"['rational', 'thinker', 'người', 'suy_nghĩ', 'thấu_đáo', 'hợp_lý', 'tư_duy', 'phản_biện', 'việc', 'phân_tích', 'dữ_kiện', 'lựa_chọn', 'trước', 'đưa', 'ra', 'đánh_giá', 'phân_tích', 'giải_quyết', 'vấn_đề', 'một_cách', 'hợp_lý', 'hệ_thống']",rational thinker người suy_nghĩ thấu_đáo hợp_lý tư_duy phản_biện việc phân_tích dữ_kiện lựa_chọn trước đưa ra đánh_giá phân_tích giải_quyết vấn_đề một_cách hợp_lý hệ_thống,,,,,,
